,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
104,-2965.9485468638964,-62.60991317947686,-12.269500030250441,-2993.4669048984483,-3012.895437966717,-2968.1858340092663,105634
105,-113.79675610238125,-3007.573018382284,-162.83024315957266,-24.728220916534646,-132.5361641497865,-26.9883389276783,106635
106,-57.67553120704255,-75.61581324650798,-65.78855044554406,-74.6786355042341,-50.04461562978559,-2991.091768234767,107636
107,-53.88730420409351,-42.794008290518384,-29.81606696591782,-92.87802470066926,-2983.248501260174,-2980.1228294086777,108642
108,-283.30331620265036,-172.77498374993633,-248.1545813198338,-113.36639271234247,-64.60775592081512,-256.81176612147306,109644
109,-91.99017593283826,-53.042148261977204,-173.0396264700596,-721.8666602869932,-137.4289789676248,-56.78171257599059,110653
110,-3052.8431737129536,-2967.5882269929234,-221.14704957573971,-2998.1496554639693,-302.71986021879127,-3035.734833032407,111658
111,-153.73539932670081,-2977.176634913227,-161.38137503578423,-68.17138558815455,-2985.397378024334,-158.2716171920807,112661
112,-3039.2297042006485,-92.10033731065958,-2989.963411338941,-3019.2645301764564,-139.40423112685184,-279.95807423937026,113663
113,-3004.1873033149463,-2971.056889135213,-3008.752788277575,-2985.7893978936627,-2996.475491625762,-2984.9905141539034,114664
114,-3053.820591857152,-259.44564647508776,-688.910300087772,-182.94377206643904,-3037.979325645531,-3114.3823322913236,115665
115,-52.86673864659565,-264.5910358408905,-115.90869247062335,-35.43305250758192,-129.52604846880104,-41.22074119632389,116666
116,-302.7498366543881,-2998.2327045948145,-2988.1293483548343,-3003.9919711648636,-61.545294568975294,-36.623571613114876,117667
117,-183.57634256588798,-3013.569573240806,-434.07948727955284,-182.52803964109435,-138.74160322780614,-2982.0013167911175,118668
118,-851.2861750253377,-2997.3996235904847,-856.1429989471608,-3007.4279737691027,-3014.8995194137774,-333.99935072060407,119676
119,-88.36317597969992,-87.0122004934133,-553.6653370268978,-157.8037490120573,-53.18676459960763,-275.0501074043897,120677
120,-31.384937015188292,-616.7263120386187,-708.3095211866433,-2993.247318412929,-422.1951773070748,-2975.3885290058943,121678
121,-3011.903906691305,-3006.7996053253296,-2998.2767504296176,-3006.8068701922107,-3018.146737879814,-3064.8720433857343,122680
122,-2992.225799033797,-2886.6862067071484,-2979.4132068915333,-2895.429411847338,-2981.751544398418,-3005.5801980175097,123681
123,-1158.27687908183,-181.211787337902,-126.76769041979654,-133.57817696310883,-1146.5977320754948,-169.26512577176925,124682
124,-2926.643544022419,-2992.266577588554,-73.2957853033314,-2996.2850365063537,-362.456986949021,-3009.481046713732,125684
125,-825.6659050250829,-1464.8117040500163,-2967.3223315792434,-265.5903533671945,-190.6029915929548,-211.2792823560807,126685
126,-88.52997450721267,-204.10498083996947,-71.71163526212197,-53.4203406221657,-35.73789526144393,-80.41603653266529,127686
127,-55.71986527872367,-101.98879366025255,-153.62638743798195,-52.9744313054692,-90.75305917459335,-35.1106663305319,128709
128,-82.9400448257389,-83.49602677111426,-137.50325755904123,-145.17888126562093,-75.8630121187837,-101.95757814034403,129711
129,-105.80736801483552,-2944.948945785876,-2939.634031063933,-422.29330175379073,-2999.405945192524,-3014.9179775763805,130733
130,-1092.7123996734522,-2990.001707471618,-3015.6530380020604,-250.95050245223757,-62.09508025534606,-3059.3445225713704,131734
