,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
96,-588.391850644198,-600.5931897193759,-593.672106819907,-593.1946201982696,-592.8331129431311,-596.4009363446992,97000
97,-595.5904338610335,-596.4637836271578,-595.460043429443,-599.8622530661808,-599.3657002728548,-593.5954926549985,98000
98,-593.7055658834917,-588.0793446957631,-590.3358599473991,-596.1707276149608,-589.9802290144098,-594.1768416665244,99000
99,-594.2354358213718,-597.3508114110086,-594.9949885722158,-595.0217642021202,-588.783059144488,-594.8129657597794,100000
100,-594.0714170533806,-589.4349195958572,-594.4716780212208,-593.9011016213874,-596.7140009839972,-594.9077374081448,101000
101,-589.7919031589034,-594.1882349820476,-588.4251808229908,-594.8865287555408,-594.7882102739243,-599.2035966580659,102000
102,-595.081405854687,-589.9737378208982,-596.7748762674667,-592.9700919721339,-595.0246359560615,-587.3354378936646,103000
103,-593.644242690751,-599.5588058553067,-591.7419041819915,-589.042921623436,-592.7671390720949,-599.3191563462987,104000
104,-595.2866340326954,-594.7297229040158,-596.9377572505491,-587.7754653502285,-596.3519794580791,-594.0737509254467,105000
105,-601.5579943354471,-593.2942218940682,-598.3353447989809,-587.798672125875,-595.0652944974242,-597.7331558375363,106000
106,-590.2583564433144,-594.0311118433343,-595.6036198475958,-588.9697358449674,-589.0114181871555,-595.7221775986231,107000
107,-588.24893438826,-590.1031884591714,-594.1115613306486,-593.945648806083,-592.811619028765,-599.2926813862312,108000
108,-597.8544935651831,-588.6993167808114,-594.0141900413815,-588.3179628344132,-590.3130497539271,-593.4714011698668,109000
109,-589.0382050695672,-588.4406003212896,-587.7424645165152,-589.782146609586,-588.4251074955954,-590.0243633141785,110000
110,-587.937705087042,-590.0911900902987,-595.8815881950102,-589.1743046290568,-595.6782594085843,-587.8642191098702,111000
111,-594.484240194363,-588.5303463619557,-590.7224664165166,-597.6438815382021,-589.9776433919114,-594.273635317925,112000
112,-596.6430548720782,-594.539832076256,-596.6565113219174,-598.6483339458678,-593.5602928341821,-586.5937330449141,113000
113,-594.9760237326656,-596.0956975178092,-587.8637211929113,-595.3069515149692,-588.9325529391559,-595.2585788642904,114000
114,-595.4156576229143,-594.5369114335234,-598.2674507508003,-587.7078688515099,-597.7799561825452,-596.0062140605817,115000
115,-588.7060542626865,-598.927749794692,-590.1323472385683,-596.1577230878636,-588.8634572456876,-594.5205875836663,116000
116,-595.5106622497788,-594.4348460765061,-595.1393679101805,-595.0298301362265,-593.7571054558222,-598.3307513854598,117000
117,-594.7571252071131,-593.7902799352089,-594.099117325035,-594.146351468333,-596.2491682346478,-593.0115592440802,118000
118,-593.889215205111,-588.3171679527308,-594.4777432046451,-592.7059364091116,-595.1062241996376,-588.8162074903505,119000
119,-594.7334939270344,-594.1674004269797,-593.7637280591676,-593.3594368292395,-593.1488639380675,-594.453561843133,120000
120,-593.8048546897295,-594.6305138314942,-590.1010538359972,-593.9688816523798,-594.6752603261202,-588.0533634742355,121000
121,-593.1115759315553,-596.5652063894363,-594.2790104636367,-593.5209731274955,-593.8470157498485,-588.3191639406849,122000
122,-594.3554406018209,-594.7133805989797,-599.0510751066387,-590.1119952575831,-599.7067420631736,-591.2526248551986,123000
123,-591.0315336255709,-590.8385986910022,-594.7170301838303,-589.6914042921071,-592.223495238483,-601.4879767847319,124000
124,-595.4642820701091,-593.4739167490426,-589.3715466748001,-597.6766358617443,-589.8105954590845,-595.148499061532,125000
125,-594.1233069142935,-588.5827625547581,-589.8149397118093,-589.0967801713847,-600.1808497883368,-589.6493999098518,126000
126,-598.0646617997784,-587.1910280406961,-593.0072439355832,-587.4961389387677,-594.8817470122958,-598.1648655760164,127000
127,-595.18971783285,-595.2673587266605,-594.6291797329055,-593.4488641617747,-594.2435459541231,-590.2798961034625,128000
128,-589.0477944327938,-595.5340682298906,-595.0973167528723,-594.3939237621048,-595.2788251004387,-597.713472629076,129000
129,-589.8701441103545,-595.0421535555538,-591.7836461498247,-594.5048026533685,-589.2564519625776,-592.5064783671835,130000
130,-588.3878872721683,-588.6945111676356,-594.4905781376934,-590.6323361364116,-588.5225479541792,-594.024784964478,131000
131,-596.4398463409042,-598.9090993488712,-596.5581967182144,-588.3196679394141,-597.7363746703327,-597.6235969978281,132000
132,-596.3966093368255,-590.3799398049425,-592.2463703286928,-592.5383165825243,-590.1718784853829,-596.2837077349669,133000
133,-593.9905662764536,-594.361227545075,-594.7248061956517,-599.5924024261577,-594.825687954819,-594.8977642296795,134000
134,-589.5105710836547,-594.4549528474497,-588.7072204001233,-588.2346047453121,-589.5719572368804,-588.9031916281783,135000
135,-588.1900063218014,-593.788874841929,-589.6160969330753,-599.7263551283631,-589.0332646905528,-595.4210796690365,136000
